primary breed,secondary breed,mixed,primary color,secondary color,age,gender,size,coat,spayed_neutered,house_trained,special_needs,shots_current,children,dogs,cats,tags,name,status,status_changed_at,published_at
Chihuahua,None,True,None, ,Young,Male,Small,None,True,False,False,True,None,True,None,[],Grunt,adopted,29/07/2020 18:54,21/07/2020 12:54
Pit Bull Terrier,English Bulldog,True,White / Cream, ,Young,Female,Medium,None,True,False,False,True,None,None,None,['Heartworm Positive'],Ensley,adoptable,21/07/2020 19:45,21/07/2020 19:45
Collie,Retriever,True,None, ,Adult,Male,Medium,None,True,True,False,False,None,True,True,[],Banjo,adopted,11/08/2020 00:13,21/07/2020 15:38
Labrador Retriever,Bloodhound,True,White / Cream, ,Young,Female,Medium,None,True,True,False,True,True,True,None,[],Honey,adopted,23/07/2020 02:24,21/07/2020 19:47
Dachshund,None,True,Yellow / Tan / Blond / Fawn, ,Baby,Male,Small,None,False,False,False,True,True,True,None,[],Dinky,adopted,29/07/2020 00:36,21/07/2020 18:29
Labrador Retriever,None,True,Black, ,Baby,Female,Medium,Short,False,False,False,True,None,True,None,[],Cyclone,adopted,06/08/2020 02:03,21/07/2020 17:09
Shepherd,Husky,True,None, ,Adult,Female,Large,None,True,True,False,False,True,True,None,[],Laney,adopted,21/07/2020 15:27,21/07/2020 15:27
Australian Shepherd,None,True,Merle (Blue), ,Adult,Male,Medium,None,True,False,False,True,None,None,None,[],Indy,adopted,25/07/2020 14:32,21/07/2020 19:07
Basenji,Lancashire Heeler,True,None, ,Adult,Male,Medium,None,True,True,False,True,None,True,True,[],Nemo,adoptable,21/07/2020 18:35,21/07/2020 18:35
Pug,None,False,Yellow / Tan / Blond / Fawn, ,Senior,Female,Medium,Medium,True,True,False,True,True,True,True,[],Beanie,adoptable,21/07/2020 20:24,21/07/2020 20:24
Australian Cattle Dog / Blue Heeler,Mixed Breed,True,Bicolor, ,Baby,Male,Medium,Short,False,False,False,True,True,True,True,[],Wesley,adopted,01/08/2020 17:29,21/07/2020 20:03
Black Mouth Cur,Mixed Breed,True,None, ,Young,Male,Large,None,False,False,False,False,None,None,None,[],Scout,adoptable,21/07/2020 19:06,21/07/2020 19:06
Beagle,None,True,None, ,Senior,Male,Medium,None,True,False,False,False,None,True,None,[],Thunderbolt,adoptable,21/07/2020 18:10,21/07/2020 18:10
Hound,None,True,White / Cream, ,Young,Male,Medium,Short,True,False,False,True,None,None,None,[],Cleveland,adopted,26/07/2020 18:40,21/07/2020 20:56
German Shepherd Dog,None,False,White / Cream, ,Young,Female,Large,Medium,True,False,False,True,None,None,False,"['new pretty youngster', 'stay tuned for bio', 'no cats']",*Savannah von Sandau,adopted,27/07/2020 18:06,21/07/2020 19:28
Boxer,None,True,Black, ,Young,Female,Medium,Short,True,False,False,True,None,None,None,[],Wave,adopted,26/07/2020 00:00,21/07/2020 18:41
Great Pyrenees,None,True,None, ,Baby,Male,Large,None,False,False,False,False,True,True,True,"['playful', 'active', 'loving']",Amaretto,adopted,24/07/2020 01:24,21/07/2020 18:10
Basset Hound,None,True,Bicolor, ,Adult,Male,Medium,Short,True,False,False,True,True,True,True,[],Eeyore,adopted,27/07/2020 13:25,21/07/2020 18:47
Golden Retriever,None,False,Golden, ,Young,Male,Large,Medium,True,True,False,True,False,True,True,[],Arlo **READ ENTRE DESCRIPTION**,adoptable,21/07/2020 18:04,21/07/2020 18:04
American Staffordshire Terrier,None,True,None, ,Baby,Female,Large,None,True,False,False,False,True,True,False,[],Darcy,adopted,21/07/2020 12:09,21/07/2020 12:09
Border Collie,None,True,Black, ,Baby,Female,Large,Medium,True,False,False,True,True,True,None,[],Aster,adopted,28/07/2020 14:53,21/07/2020 19:57
German Shepherd Dog,None,False,Black, ,Adult,Male,Large,Medium,True,True,False,True,None,None,False,[],Buddy,adoptable,21/07/2020 18:09,21/07/2020 18:09
Shih Tzu,Lhasa Apso,True,Apricot / Beige, ,Adult,Male,Small,Medium,True,True,False,True,None,True,None,[],Albert,adopted,21/07/2020 13:34,21/07/2020 11:42
Basset Hound,None,False,None, ,Senior,Male,Medium,None,False,False,False,True,None,True,True,[],Mojo,adopted,25/07/2020 01:00,21/07/2020 18:44
Collie,None,True,None, ,Adult,Female,Medium,None,True,True,False,True,True,True,None,[],NicNic,adopted,21/07/2020 17:12,21/07/2020 17:12
Labrador Retriever,Anatolian Shepherd,True,White / Cream, ,Young,Male,Medium,Short,True,True,False,True,True,True,True,[],Noah,adopted,10/08/2020 14:18,21/07/2020 15:49
Pit Bull Terrier,None,False,Black, ,Adult,Female,Large,Short,True,False,False,True,None,None,False,[],Nyssa,adoptable,21/07/2020 15:06,21/07/2020 15:06
Labrador Retriever,None,True,None, ,Young,Male,Medium,None,True,True,False,True,True,True,True,[],Forrest,adopted,31/07/2020 18:56,21/07/2020 20:42
Labrador Retriever,None,True,None, ,Adult,Female,Large,None,True,True,False,False,True,False,False,[],Aubry,adoptable,21/07/2020 15:12,21/07/2020 15:12
Mastiff,None,True,None, ,Adult,Female,Extra Large,None,True,False,False,False,False,False,False,[],Moonie & Sara (bonded pair),adoptable,21/07/2020 15:46,21/07/2020 15:46
Airedale Terrier,Rottweiler,True,None, ,Adult,Male,Large,None,False,True,False,False,None,None,None,[],Koda,adoptable,21/07/2020 14:50,21/07/2020 14:50
Terrier,None,False,Black, ,Young,Male,Small,None,False,False,False,False,None,None,None,[],Sam,adopted,30/07/2020 16:56,21/07/2020 19:10
Yorkshire Terrier,None,False,None, ,Senior,Female,Small,None,True,False,False,True,None,True,None,[],Mimi,adoptable,21/07/2020 15:29,21/07/2020 15:29
Rottweiler,None,False,Black, ,Adult,Female,Medium,Medium,True,True,False,True,True,True,True,[],Reba,adoptable,21/07/2020 14:07,21/07/2020 14:07
Labrador Retriever,Rhodesian Ridgeback,True,Red / Chestnut / Orange, ,Baby,Male,Medium,Short,True,False,False,True,True,True,True,[],Rusty,adopted,25/07/2020 19:20,21/07/2020 12:32
Treeing Walker Coonhound,None,False,Tricolor (Brown, & White),Adult,Male,Large,Short,True,False,False,True,None,True,None,[],Chip,adopted,24/07/2020 22:50,21/07/2020 17:49
Terrier,Retriever,True,Brindle, ,Adult,Male,Medium,Short,True,True,False,True,True,True,False,"['Friendly', 'Good with dogs']",Triton,adopted,13/08/2020 23:11,21/07/2020 18:58
Retriever,None,True,Apricot / Beige, ,Baby,Female,Medium,Short,True,False,False,True,None,True,None,[],Pippa,adopted,15/08/2020 14:08,21/07/2020 18:00
Labrador Retriever,Shepherd,True,None, ,Baby,Male,Medium,None,False,False,False,True,True,True,True,[],Shepherd,adopted,21/07/2020 19:15,21/07/2020 19:15
Terrier,Pit Bull Terrier,True,None, ,Adult,Female,Large,None,True,True,False,True,False,True,True,[],Daisy,adopted,21/07/2020 15:13,21/07/2020 15:13
Pit Bull Terrier,None,False,None, ,Adult,Male,Medium,None,True,False,False,False,None,None,None,[],SALVADORE,adoptable,21/07/2020 17:51,21/07/2020 17:51
Terrier,None,True,White / Cream, ,Adult,Female,Medium,Short,True,False,False,True,None,None,None,[],Grasshopper,adopted,28/07/2020 18:06,21/07/2020 19:58
Spaniel,Chihuahua,True,None, ,Baby,Male,Small,None,True,True,False,True,True,True,True,[],Binky-ADOPTED 8/7/20; see his look-a-likes,adoptable,09/08/2020 17:45,21/07/2020 20:27
Terrier,None,True,Brindle, ,Baby,Male,Small,Short,False,False,False,True,None,True,True,[],Fez,adoptable,21/07/2020 18:46,21/07/2020 18:46
Pit Bull Terrier,None,True,White / Cream, ,Adult,Female,Medium,Short,True,False,False,True,None,None,None,[],Abalone,adoptable,02/08/2020 18:30,21/07/2020 18:15
Mixed Breed,None,False,None, ,Young,Male,Medium,None,False,False,False,False,None,None,None,[],Dobie,adopted,24/07/2020 23:23,21/07/2020 19:57
Chihuahua,None,True,None, ,Adult,Female,Small,None,False,False,False,True,None,True,None,[],Suki,adoptable,21/07/2020 11:05,21/07/2020 11:05
Chocolate Labrador Retriever,Hound,True,Brown / Chocolate, ,Young,Female,Medium,None,True,False,False,True,None,True,None,"['calm', 'needs a dog buddy', 'sweet nature']",Taffy,adopted,26/07/2020 22:55,21/07/2020 19:55
Terrier,None,True,Black, ,Baby,Female,Small,None,False,False,False,False,True,True,True,[],Serena,adopted,03/08/2020 16:51,21/07/2020 17:38
Rat Terrier,None,True,None, ,Senior,Female,Medium,Wire,True,False,False,True,None,None,None,[],Dazzle,adopted,28/07/2020 23:47,21/07/2020 15:20
Yorkshire Terrier,Poodle,True,None, ,Adult,Female,Small,None,True,True,False,True,True,True,None,[],Gracie,adopted,27/07/2020 13:37,21/07/2020 13:37
Dachshund,None,True,Red / Chestnut / Orange, ,Adult,Male,Small,Short,True,False,False,True,None,None,None,[],Lobster,adopted,25/07/2020 22:15,21/07/2020 18:31
Labrador Retriever,None,True,None, ,Adult,Male,Medium,Short,True,True,False,True,True,True,None,[],Tom,adopted,04/08/2020 14:09,21/07/2020 15:26
Labrador Retriever,Boxer,True,Brindle, ,Baby,Male,Large,Short,False,False,False,True,True,True,None,"['Loving', 'Playful', 'Active']",MILO,adopted,28/07/2020 21:24,21/07/2020 13:20
Staffordshire Bull Terrier,Pit Bull Terrier,True,Tricolor (Brown, & White),Adult,Female,Medium,None,True,True,False,True,True,None,False,[],Daisy,adopted,01/08/2020 09:06,21/07/2020 18:47
Dachshund,None,False,Merle (Blue), ,Senior,Female,Small,Short,True,False,False,True,None,None,None,[],Patsy,adopted,21/07/2020 21:14,21/07/2020 15:32
Hound,None,False,None, ,Adult,Male,Medium,None,True,False,False,True,None,None,None,[],Pepper,adoptable,21/07/2020 15:59,21/07/2020 15:59
Terrier,Chihuahua,True,Black, ,Baby,Female,Medium,Short,True,False,False,True,True,True,True,[],Blackjack,adoptable,12/08/2020 15:46,21/07/2020 19:58
Great Pyrenees,Australian Cattle Dog / Blue Heeler,True,None, ,Adult,Male,Large,None,True,True,False,True,True,True,True,[],Cooper,adopted,21/07/2020 20:45,21/07/2020 20:45
German Shepherd Dog,None,True,None, ,Adult,Male,Large,None,True,True,False,True,True,True,False,[],Axel,adopted,21/07/2020 20:47,21/07/2020 20:47
Chihuahua,Yorkshire Terrier,True,Red / Chestnut / Orange, ,Adult,Female,Small,Medium,True,False,False,True,True,True,True,[],Fancy Pants,adopted,28/07/2020 18:37,21/07/2020 18:01
Bullmastiff,None,True,Brindle, ,Senior,Female,Large,Short,True,True,False,True,None,None,None,"['playful', 'smart', 'sweet', 'loveable', 'excellent on leash']",#¿NOMBRE?,adopted,08/08/2020 14:07,21/07/2020 13:38
German Shepherd Dog,Shar-Pei,True,None, ,Young,Male,Medium,None,True,True,False,False,None,None,None,[],Lefty,adoptable,21/07/2020 19:45,21/07/2020 19:45
Hound,None,False,Red / Chestnut / Orange, ,Young,Male,Large,Short,True,True,False,True,True,True,True,[],Buddy (Great Family Dog),adopted,26/07/2020 21:13,21/07/2020 15:59
Mixed Breed,None,False,Brown / Chocolate, ,Adult,Male,Medium,None,False,False,False,True,None,None,None,[],Charlie,adoptable,21/07/2020 15:35,21/07/2020 15:35
Shepherd,Retriever,True,Black, ,Young,Female,Medium,Medium,False,False,False,True,None,True,None,[],Sabrina,adopted,26/07/2020 22:02,21/07/2020 15:08
Mixed Breed,None,False,Brindle, ,Senior,Female,Large,None,False,False,False,True,None,None,None,[],Hershey,adoptable,21/07/2020 18:45,21/07/2020 18:45
Cattle Dog,None,False,None, ,Young,Female,Medium,None,False,False,False,True,None,None,None,[],Everly,adopted,25/07/2020 15:55,21/07/2020 11:21
Spaniel,Retriever,True,Black, ,Baby,Female,Medium,Short,True,False,False,True,None,True,None,[],Jetta,adopted,30/07/2020 13:48,21/07/2020 17:52
Terrier,None,True,Tricolor (Brown, & White),Baby,Female,Medium,Short,True,False,False,True,True,True,True,[],Pixar #3f,adopted,25/07/2020 17:35,21/07/2020 20:50
Pit Bull Terrier,None,True,None, ,Young,Male,Large,None,True,True,False,True,True,True,None,[],RANSOM,adopted,14/08/2020 20:26,21/07/2020 20:09
Cattle Dog,None,True,Gray / Blue / Silver, ,Baby,Male,Medium,Medium,False,False,False,False,None,None,None,[],Colt,adoptable,12/08/2020 15:50,21/07/2020 20:17
Labrador Retriever,Shepherd,True,Black, ,Young,Male,Medium,Short,True,False,False,True,None,None,None,[],Current,adopted,30/07/2020 23:28,21/07/2020 18:19
Australian Cattle Dog / Blue Heeler,None,True,Brown / Chocolate, ,Baby,Male,Medium,Short,False,False,False,True,True,True,True,[],Winston,adoptable,21/07/2020 20:39,21/07/2020 20:39
Mixed Breed,None,False,Black, ,Adult,Male,Medium,None,False,False,False,False,None,None,None,[],MAX,adopted,26/07/2020 00:41,21/07/2020 20:43
English Bulldog,None,False,Apricot / Beige, ,Adult,Female,Medium,Short,False,False,False,False,None,None,None,[],MOLLY,adopted,27/07/2020 19:35,21/07/2020 13:49
Coonhound,Mixed Breed,True,Brindle, ,Adult,Male,Medium,None,True,False,False,True,None,None,None,[],Crawford,adoptable,21/07/2020 14:45,21/07/2020 14:45
Patterdale Terrier / Fell Terrier,Mixed Breed,True,None, ,Adult,Male,Medium,None,True,False,False,False,None,None,None,[],LUCAS,adoptable,21/07/2020 20:51,21/07/2020 20:51
Akbash,None,False,None, ,Young,Female,Large,None,True,True,False,False,None,True,None,[],Annie,adoptable,21/07/2020 15:23,21/07/2020 15:23
American Bulldog,None,True,None, ,Adult,Male,Large,None,True,False,False,True,None,None,None,[],SAWYER,adopted,13/08/2020 22:14,21/07/2020 15:30
Pit Bull Terrier,None,False,None, ,Adult,Female,Large,None,True,False,False,False,None,None,None,[],2006-0617 Skye,adoptable,21/07/2020 13:55,21/07/2020 13:55
Yorkshire Terrier,None,True,Yellow / Tan / Blond / Fawn, ,Adult,Female,Small,Medium,False,True,False,False,None,True,False,[],Suzie,adopted,26/07/2020 12:33,21/07/2020 16:00
Yorkshire Terrier,None,False,None, ,Adult,Male,Small,None,True,True,False,True,None,None,None,[],McTavish,adopted,21/07/2020 19:45,21/07/2020 19:45
Labrador Retriever,None,True,Tricolor (Brown, & White),Baby,Female,Medium,Medium,False,False,False,True,True,True,True,[],Birdie,adopted,22/07/2020 15:30,21/07/2020 19:03
Pit Bull Terrier,None,False,Black, ,Adult,Female,Medium,Short,True,True,False,True,True,True,True,[],Zsa Zsa Gabor,adoptable,21/07/2020 15:26,21/07/2020 15:26
Catahoula Leopard Dog,None,True,None, ,Young,Male,Medium,None,True,True,False,True,True,None,None,[],Duke* A171850,adopted,27/07/2020 16:01,21/07/2020 17:53
Mixed Breed,None,False,Brown / Chocolate, ,Baby,Female,Large,Short,True,False,False,True,True,True,None,[],Brownie,adopted,01/08/2020 22:55,21/07/2020 18:05
Mixed Breed,None,False,Red / Chestnut / Orange, ,Senior,Male,Medium,None,True,False,False,True,None,None,None,[],Marshall 6D36,adoptable,21/07/2020 15:50,21/07/2020 15:50
Mixed Breed,None,False,None, ,Adult,Male,Medium,None,True,False,False,False,None,None,None,[],HOTCH,adoptable,21/07/2020 12:50,21/07/2020 12:50
Labrador Retriever,None,True,Black, ,Baby,Female,Medium,None,False,False,False,True,True,True,None,[],Hayley,adopted,31/07/2020 04:47,21/07/2020 18:47
Shepherd,None,True,Tricolor (Brown, & White),Adult,Male,Medium,Short,False,False,False,False,None,None,None,[],Found! Male Stray,adopted,22/07/2020 15:05,21/07/2020 17:08
Terrier,None,False,Brindle, ,Young,Female,Medium,Short,True,True,False,True,True,True,False,[],Lulu (Best Dog Ever),adoptable,08/08/2020 15:17,21/07/2020 18:53
Pointer,None,True,White / Cream, ,Adult,Male,Medium,Short,True,False,False,True,None,None,None,[],Bragg,adopted,05/08/2020 19:36,21/07/2020 18:12
Labrador Retriever,None,True,Yellow / Tan / Blond / Fawn, ,Baby,Male,Medium,None,False,False,False,True,True,True,None,[],Larry,adopted,25/07/2020 01:42,21/07/2020 18:39
Retriever,Pit Bull Terrier,True,Black, ,Adult,Male,Large,Short,True,False,False,True,True,True,None,[],George,adopted,31/07/2020 19:44,21/07/2020 17:54
American Bulldog,None,True,None, ,Adult,Male,Large,None,True,True,False,True,True,True,True,[],Roy curtesy post,adopted,30/07/2020 19:22,21/07/2020 17:13
Terrier,None,True,None, ,Adult,Male,Small,Short,True,True,False,True,False,True,None,"['Shy', 'Loving', '']",Harley,adoptable,21/07/2020 19:09,21/07/2020 19:09
Labrador Retriever,Terrier,True,None, ,Adult,Female,Large,None,True,True,False,False,None,True,None,[],Hope,adopted,26/07/2020 14:54,21/07/2020 18:10
Spaniel,None,True,None, ,Young,Female,Medium,None,False,False,False,True,None,None,None,[],Norra,adopted,21/07/2020 17:07,21/07/2020 17:07
Australian Cattle Dog / Blue Heeler,None,True,None, ,Baby,Female,Medium,Short,False,False,False,True,True,True,None,[],Gisella,adopted,26/07/2020 19:35,21/07/2020 17:46
Pit Bull Terrier,None,True,None, ,Baby,Male,Medium,None,False,False,False,True,True,True,True,[],Dalton,adopted,21/07/2020 15:58,21/07/2020 15:58
Husky,None,True,None, ,Baby,Female,Medium,None,False,False,False,True,True,True,None,[],Dublin,adopted,21/07/2020 11:52,21/07/2020 11:52
Labrador Retriever,Shepherd,True,White / Cream, ,Baby,Male,Medium,Short,True,False,False,True,True,True,None,[],Rosco,adopted,26/07/2020 03:30,21/07/2020 20:43
Collie,None,True,None, ,Baby,Female,Medium,None,True,False,False,True,True,True,True,[],Twisted Sister,adopted,21/07/2020 17:43,21/07/2020 17:43
Treeing Walker Coonhound,None,True,Tricolor (Brown, & White),Baby,Male,Small,Short,False,False,False,False,None,True,None,[],Hoover,adopted,21/07/2020 17:28,21/07/2020 13:53
American Staffordshire Terrier,None,True,White / Cream, ,Adult,Female,Large,None,True,True,False,True,True,True,True,[],Sweets,adoptable,21/07/2020 18:46,21/07/2020 18:46
Retriever,None,True,None, ,Baby,Female,Medium,None,True,False,False,True,True,True,True,[],Tinsley,adopted,21/07/2020 11:05,21/07/2020 11:05
Terrier,Collie,True,None, ,Baby,Male,Large,Medium,False,False,False,False,None,None,None,[],Kodiak~Adopted!!,adoptable,21/07/2020 15:08,21/07/2020 15:08
Pit Bull Terrier,None,False,None, ,Adult,Male,Large,None,False,False,False,False,None,None,None,[],COOK,adoptable,21/07/2020 17:51,21/07/2020 17:51
Black Mouth Cur,Labrador Retriever,True,Black, ,Young,Female,Medium,Short,True,False,False,True,True,True,None,[],Cassie - ADOPTION PENDING,adopted,04/08/2020 14:49,21/07/2020 13:36
Terrier,Hound,True,Black, ,Baby,Female,Medium,Short,True,False,False,True,None,True,None,[],Georgina-pending,adopted,05/08/2020 01:15,21/07/2020 19:14
Labrador Retriever,Pit Bull Terrier,True,None, ,Young,Male,Medium,None,False,True,False,False,True,True,None,[],Peanut,adopted,21/07/2020 19:28,21/07/2020 19:28
Yorkshire Terrier,None,True,Black, ,Senior,Female,Small,Medium,True,False,False,True,False,True,True,[],Cameo,adopted,17/08/2020 20:41,22/07/2020 01:55
Labrador Retriever,None,True,None, ,Baby,Female,Medium,None,False,False,False,False,None,True,None,[],Sue,adopted,25/07/2020 20:44,21/07/2020 18:12
Shepherd,Australian Cattle Dog / Blue Heeler,True,Black, ,Adult,Male,Medium,Short,True,True,False,True,True,True,None,[],Cray,adoptable,21/07/2020 20:19,21/07/2020 20:19
Hound,None,True,None, ,Adult,Male,Large,Short,True,True,False,True,False,None,False,[],Acorn,adoptable,21/07/2020 14:32,21/07/2020 14:32
Shih Tzu,None,True,None, ,Senior,Male,Small,None,True,True,False,True,True,True,None,[],Sampson,adopted,21/07/2020 11:05,21/07/2020 11:05
Cattle Dog,None,True,None, ,Baby,Male,Medium,None,True,False,False,True,True,True,True,[],Cattle Dog Mix M #2,adopted,22/07/2020 16:46,21/07/2020 15:14
Mastiff,None,True,None, ,Young,Male,Large,None,True,True,False,True,True,True,True,[],Fergus,adopted,04/08/2020 13:37,21/07/2020 20:49
Shih Tzu,None,True,None, ,Senior,Male,Small,None,True,True,False,True,True,True,None,[],Senji,adopted,21/07/2020 11:05,21/07/2020 11:05
Labrador Retriever,Shepherd,True,Yellow / Tan / Blond / Fawn, ,Baby,Male,Medium,Short,True,False,False,True,True,True,None,[],Rooney,adopted,26/07/2020 03:30,21/07/2020 20:42
Plott Hound,None,True,Brindle, ,Young,Male,Medium,Short,True,False,False,True,None,True,None,[],Peanut Butter   (no apartments),adoptable,21/07/2020 20:02,21/07/2020 20:02
Dachshund,None,True,None, ,Baby,Male,Medium,None,False,False,False,False,True,True,True,[],Mr. Moon,adopted,21/07/2020 13:06,21/07/2020 13:06
Pointer,Labrador Retriever,True,None, ,Baby,Female,Medium,Short,True,True,False,True,None,None,None,[],Mabel,adopted,04/08/2020 11:42,21/07/2020 20:22
Labrador Retriever,Shepherd,True,White / Cream, ,Young,Female,Medium,Short,True,True,False,True,True,True,True,[],Darcy,adopted,30/07/2020 13:58,21/07/2020 19:17
Alaskan Malamute,Siberian Husky,True,None, ,Adult,Female,Large,Long,True,True,False,True,True,None,None,[],Nani,adoptable,21/07/2020 12:07,21/07/2020 12:07
Pit Bull Terrier,None,True,Brown / Chocolate, ,Baby,Male,Medium,Short,True,False,False,True,True,None,None,[],Kiro,adoptable,21/07/2020 13:29,21/07/2020 13:29
Mixed Breed,None,False,White / Cream, ,Senior,Female,Large,None,True,False,False,True,None,None,None,"['Fence Jumper', 'Single Dog Home']",Jane,adoptable,21/07/2020 19:30,21/07/2020 19:30
Beagle,None,True,Tricolor (Brown, & White),Young,Male,Small,Short,True,False,False,True,None,None,None,[],Dibble,adopted,21/07/2020 13:15,21/07/2020 12:11
Chihuahua,None,True,None, ,Senior,Female,Small,None,True,False,False,True,True,True,True,[],Isabella,adoptable,21/07/2020 19:15,21/07/2020 19:15
Labrador Retriever,Terrier,True,None, ,Baby,Male,Medium,None,True,False,False,True,None,True,None,[],Frisbee,adopted,21/07/2020 11:05,21/07/2020 11:05
Jindo,None,False,White / Cream, ,Adult,Male,Medium,Medium,True,False,False,True,None,None,None,[],Goomba,adoptable,21/07/2020 17:26,21/07/2020 17:26
Pit Bull Terrier,Boxer,True,None, ,Adult,Female,Medium,None,True,True,False,True,False,True,None,[],Zena,adoptable,21/07/2020 18:40,21/07/2020 18:40
German Shepherd Dog,Mixed Breed,True,Black, ,Adult,Male,Medium,Short,True,False,False,True,True,True,True,"['active', 'loving', 'dog friendly', 'smart']",Porter,adopted,23/07/2020 20:28,21/07/2020 11:58
Beagle,None,True,Red / Chestnut / Orange, ,Senior,Male,Medium,Medium,True,True,False,True,True,True,True,[],Bob The Beagle,adopted,01/08/2020 18:06,21/07/2020 17:53
Terrier,Catahoula Leopard Dog,True,Merle (Red), ,Baby,Female,Medium,Short,True,False,False,True,None,True,None,[],Scrumdiddlyumptious,adopted,13/08/2020 14:33,21/07/2020 19:30
Goldendoodle,None,False,Apricot / Beige, ,Young,Male,Large,Medium,True,False,False,True,True,True,None,"['Golden', 'doodle', 'loving', 'goldendoodle']",Max,adopted,04/08/2020 18:06,21/07/2020 19:56
Mixed Breed,None,True,Black, ,Young,Female,Small,Short,True,False,False,True,None,True,None,[],Blue,adopted,25/07/2020 15:48,21/07/2020 18:45
Terrier,None,False,Golden, ,Adult,Female,Small,Short,False,False,False,False,None,None,None,[],LOOANNE,adopted,28/07/2020 20:38,21/07/2020 15:46
Chihuahua,Schipperke,True,Bicolor, ,Senior,Male,Small,Medium,True,True,True,True,None,True,None,[],Sampson,adoptable,03/08/2020 18:38,21/07/2020 19:35
Terrier,None,True,Golden, ,Baby,Male,Small,Short,False,False,False,False,True,True,True,[],HOLDEN,adopted,28/07/2020 17:12,21/07/2020 17:49
Beagle,Australian Cattle Dog / Blue Heeler,True,Tricolor (Brown, & White),Young,Female,Medium,None,False,True,False,True,True,True,None,[],Honey,adopted,04/08/2020 03:05,21/07/2020 18:04
Labrador Retriever,Australian Shepherd,True,None, ,Young,Male,Medium,None,True,True,False,True,True,True,True,[],Pike,adopted,28/07/2020 02:07,21/07/2020 14:26
Shepherd,Chow Chow,True,None, ,Senior,Female,Large,Medium,True,True,True,True,True,False,True,[],Heidi,adopted,30/07/2020 14:18,21/07/2020 15:38
Beagle,None,False,Tricolor (Brown, & White),Young,Female,Small,Short,False,False,False,True,True,True,True,[],122,adopted,22/07/2020 17:24,21/07/2020 12:55
Husky,None,True,Brown / Chocolate, ,Young,Male,Medium,Short,True,False,False,True,True,True,None,[],Utah,adopted,28/07/2020 13:42,21/07/2020 13:10
Jindo,None,False,White / Cream, ,Young,Male,Medium,Short,True,False,False,True,None,True,True,[],Wiley,adopted,02/08/2020 20:26,21/07/2020 18:17
Pit Bull Terrier,None,False,Black, ,Senior,Female,Large,Short,True,True,False,True,True,False,False,[],Sassy Ann,adoptable,21/07/2020 22:15,21/07/2020 22:15
Shar-Pei,Labrador Retriever,True,White / Cream, ,Baby,Female,Medium,Short,True,True,False,True,True,True,True,[],Deli-PENDING,adopted,01/08/2020 15:16,21/07/2020 18:03
Labrador Retriever,Pit Bull Terrier,True,None, ,Young,Male,Large,None,False,False,False,True,None,True,None,[],Abner,adopted,21/07/2020 17:09,21/07/2020 17:09
Australian Cattle Dog / Blue Heeler,None,True,Brindle, ,Adult,Male,Medium,Short,True,True,False,True,True,True,False,[],Tank,adopted,04/08/2020 15:40,21/07/2020 18:57
Border Collie,Spaniel,True,None, ,Adult,Male,Medium,None,True,False,False,True,None,None,None,[],Baxter and Roscoe,adopted,30/07/2020 12:59,21/07/2020 18:40
Shih Tzu,Yorkshire Terrier,True,Red / Chestnut / Orange, ,Adult,Male,Small,Long,True,False,False,True,False,True,True,[],BamBam,adopted,28/07/2020 18:05,21/07/2020 18:08
Terrier,None,True,Tricolor (Brown, & White),Young,Female,Medium,Short,True,False,False,True,True,True,None,[],Sophie,adoptable,21/07/2020 15:04,21/07/2020 15:04
Pit Bull Terrier,None,True,Black, ,Adult,Male,Medium,None,True,False,False,True,None,None,None,[],Armando,adoptable,21/07/2020 19:45,21/07/2020 19:45
Chihuahua,None,True,Black, ,Adult,Female,Small,Short,True,True,False,True,True,True,None,"['active', 'playful', 'loving']",Charlotte,adopted,24/07/2020 19:26,21/07/2020 14:17
Terrier,None,True,Black, ,Baby,Male,Small,Wire,False,False,False,True,True,True,True,[],Bentley,adopted,25/07/2020 16:41,21/07/2020 19:44
Poodle,None,True,White / Cream, ,Adult,Male,Small,Medium,True,False,False,True,False,True,None,[],Riley,adopted,22/07/2020 19:12,21/07/2020 20:50
Chihuahua,None,True,None, ,Baby,Male,Small,None,True,True,False,True,True,True,True,[],Casper-ADOPTION pending,adoptable,09/08/2020 17:45,21/07/2020 20:11
Treeing Walker Coonhound,None,True,Tricolor (Brown, & White),Baby,Female,Small,Short,False,False,False,False,None,True,None,[],Shark,adopted,21/07/2020 18:12,21/07/2020 13:49
Coonhound,Mixed Breed,True,Brindle, ,Adult,Male,Medium,None,True,False,False,True,None,None,None,[],Geddy,adoptable,21/07/2020 14:45,21/07/2020 14:45
Terrier,Hound,True,Brindle, ,Baby,Female,Medium,Short,True,False,False,True,None,True,None,[],Gumdrop,adopted,13/08/2020 14:33,21/07/2020 19:34
Miniature Pinscher,None,True,None, ,Senior,Male,Small,None,True,False,False,True,None,True,True,[],Sammy,adoptable,21/07/2020 19:51,21/07/2020 19:51
Labrador Retriever,None,True,None, ,Adult,Male,Large,None,True,False,False,False,None,None,None,[],2007-1566 Odin,adoptable,21/07/2020 13:55,21/07/2020 13:55
Dachshund,Basset Hound,True,Tricolor (Brown, & White),Senior,Male,Small,Medium,True,False,False,True,None,True,None,"['chill kinda guy', 'adorable', 'sweet']",Scooby,adopted,09/08/2020 17:01,21/07/2020 23:52
